content,timestamp,platform,stock_name,label
이야 많이올라왔디 힘내,2025-02-14T09:18:17+09:00,toss,삼성전자,
역시 샘송,2024-08-14T11:38:23+09:00,toss,삼성전자,
얜 뭐 트럼프 관련주냐,2024-11-04T14:45:15+09:00,toss,삼성전자,
역시 줄때 먹고 빠져야되넹,2025-02-14T09:20:57+09:00,toss,삼성전자,
갤럭시 쓰는 외인들은 무조건 들어와야제 아이폰은 안 들어와도 돼,2024-12-13T09:45:41+09:00,toss,삼성전자,
가즈아 삼성,2024-12-26T14:08:18+09:00,toss,삼성전자,
도대체 몇일째 조정인가요,2023-06-21T14:36:09+09:00,toss,삼성전자,
"뭐 주식이 그것도 국장 대표가
1년에 450는 아니더라도
10는 올라가야  정상아닌가",2024-05-29T16:35:58+09:00,toss,삼성전자,
이거 본전올까요  치킨 사먹을돈 벌고싶었는데 돈 잃었어요,2024-11-12T16:39:49+09:00,toss,삼성전자,
걱정할 회사를 걱정하셈,2024-11-15T21:51:50+09:00,toss,삼성전자,
옴마 왜이래,2024-09-25T15:36:10+09:00,toss,삼성전자,
"이미  저점  변곡점  지나  대세  상승장으로  
접으들었기 때문에  시간에  투자하면  반도체
상승장  국면으로  8만  9만  달릴거임
반도체  이미  흑자전환으로  시간은  조금  걸려도  조금씩  상승흐름  계속  될 거임
맘 편히  지켜보면됨 상승  보합상승  보합",2024-01-08T23:01:11+09:00,toss,삼성전자,
매일 천원씩 내려 가는듯,2024-11-29T09:34:31+09:00,toss,삼성전자,
이렇게 올라가도 79층에 있는 난1년 아니 2년가까이 마이너스버티고 있는 중,2024-06-03T12:37:19+09:00,toss,삼성전자,
슬픈날이다 그죠,2025-02-03T13:11:01+09:00,toss,삼성전자,
미국 금리인하 했다 미장오른다 외국 주식 매도 당연한 수순이지 더구나 호재고 없는 회사 주식이면 외 어제 외인이 샀다 팔았을까 아무 이유없이 답은 뻔하지,2024-11-08T08:56:01+09:00,toss,삼성전자,
오늘도 내릴거같드만,2024-10-04T09:57:47+09:00,toss,삼성전자,
떨어지기만 하는 삼전 살돈으로 그냥 비트를 사서 이득보는게 더 빠를듯 인정,2024-10-10T13:22:26+09:00,toss,삼성전자,
httpsyoutubecomshortsW4Vlza5DBBAsioW585CzS4Q58xsX,2024-11-12T13:49:44+09:00,toss,삼성전자,
오늘 왜 휴장인지 아시는뷴,2024-12-31T09:35:43+09:00,toss,삼성전자,
,2024-12-11T14:12:03+09:00,toss,삼성전자,
세상에 주식이 딱 2가지만 있다면 선택은,2024-11-13T13:16:19+09:00,toss,삼성전자,
10 안전자산이라 생각하고 꾸준히 넣어둘라 했더니 이렇게 물리넹,2024-09-14T17:05:21+09:00,toss,삼성전자,
더 곡소리 나면 들어와야 겠어요,2024-11-12T13:50:44+09:00,toss,삼성전자,
여기에 물려있을 시간에 다른거 투자했으면,2023-07-20T12:23:52+09:00,toss,삼성전자,
뻔해,2025-02-26T11:19:13+09:00,toss,삼성전자,
"오전에 팔고  나와서
다시  들어갈 생각으로 보는데
가격이  거의제자리 걸음 이네요",2024-06-05T14:46:58+09:00,toss,삼성전자,
5만원 매매 취소시킨 내가 레전드,2024-12-12T12:52:49+09:00,toss,삼성전자,
삼전이 살아야 내 주식도 산다고,2024-09-08T23:41:48+09:00,toss,삼성전자,
삼성에 계신분들 왜 하이닉스 구매 안하시고 여기 계시는가요  궁금해서 물어요,2024-09-26T09:43:57+09:00,toss,삼성전자,
뜨쟁이들은 꺼져,2024-10-02T09:11:50+09:00,toss,삼성전자,
"불과 얼마 전까지만 하더라도 코스피가 2900선을 탈환하면서 하반기 300선에 대한 기대가 상당히 높았습니다 정치적 불확실성이라는 출렁임을 넘어서 그래도 하반기는 300선에 대한 기대감을 여전히 가질 수 있는 것인지 혹은 이대로 조정을 받는 것인지 어떤 의견이십니까 

반도체와 관련해서 추가적인 제제라든지 여러 가지 이슈가 반도체주의 하락을 도모했었는데 간밤에는 TSMC가 호실적을 내놓고 가이던스도 긍정적으로 발표하면서 엔비디아를 비롯한 반도체주가 약간은 올랐습니다 반도체주의 방향성에 대한 판단은 어떻습니까

현재 트럼프 전 대통령의 지지율이 70 넘어서고 있다는 보도도 나오고 있고 바이든 대통령 같은 경우에는 사퇴설이 솔솔 나오고 있는 상황인데 이러한 미국의 정책 불확실성 사이에서 우리는 어떤 투자 전략을 가지고 가는 것이 필요합니까

타임라인
00 출발증시 
0026 코스피 최근 약세 배경
0119 트럼프 리스크
0331 국내 반도체주 상승 동력
0637 3분기 주목할 이슈

영상보기
httpsyoutube62lQUxyR8SAsiDyFVOSHD7lYMPsKM",2024-07-19T18:03:16+09:00,toss,삼성전자,
네이놈,2024-12-24T14:49:59+09:00,toss,삼성전자,
8만전자 가즈아,2024-03-21T08:56:31+09:00,toss,삼성전자,
일단 일부 팔고 내일 가격방어 되려나 배당락,2024-03-28T13:18:14+09:00,toss,삼성전자,
"진짜 버티기 하나는 최고네
하닉하고 그래서 급이 다른건디
하닉은  더 나락 가는 구만",2024-07-25T15:03:47+09:00,toss,삼성전자,
지치게하는구나 오늘진짜 마이크론 실적폭망되면 나락가려나,2024-09-25T13:33:15+09:00,toss,삼성전자,
"17  10 CES 2025 젠슨 황 및 여러 기업들 행보 삼성전자 제품 발표 참가

18 삼성전자 잠정실적 발표 어닝 여부 HBM관련 성과중요

120 트럼프 취임식 정책 발표 중요

1월 셋째주  넷째주 SK하이닉스 4분기 실적 발표어닝 여부 HBM 가이던스 중요

129 미 연준 FOMC  트럼프 취임 이후 금리 인하 관련 코멘트

앞으로 삼성전자에 영향이 갈 이벤트는 이정도인 것 같습니다 당장 8일 삼성전자 잠정실적 리스크부터 생각해서 매도 전략 세우길 바라겠습니다",2025-01-06T14:45:20+09:00,toss,삼성전자,
저도 지난달 털고 다시 69800 으로입성,2023-07-25T14:33:16+09:00,toss,삼성전자,
오늘은 개미들만 다 던지는 날인가 서양형들 주차실력 함 보께,2025-03-17T11:37:20+09:00,toss,삼성전자,
"67 에 추매 안걸린 것이 신의 한수였나 

어제 66 에도 안걸려서 취소 했는대

 오늘 641 도 올지 않을지 모르지만 

안오면 말고 이제 추매도 좀 무서워서

예전에는 5만은 설마 했는대

지금은 가능성이 보이는듯 하니",2024-09-11T13:02:56+09:00,toss,삼성전자,
무섭다,2024-10-25T09:45:16+09:00,toss,삼성전자,
6만가자,2025-02-18T12:42:31+09:00,toss,삼성전자,
"미국서 보조금 확정인가보네요
외인수급이",2024-03-29T11:41:40+09:00,toss,삼성전자,
인생 첫 삼전 구매인데 개노답이네,2024-09-12T11:12:30+09:00,toss,삼성전자,
실화냨,2024-10-22T10:09:33+09:00,toss,삼성전자,
오만원일때는 사만원될까봐 안 사놓고 그냥 지금 사서 언젠가 12만원되면 팔면 되잖아 더 떨어져서 육만원되면 더 담으면 되고 개미들이 무슨 걱정이래 다달이 수익률 챙겨야 회사 안 짤리는 기관도 아니고,2024-02-15T19:10:45+09:00,toss,삼성전자,
이러다 3만 전자 가겠누,2024-11-13T14:04:55+09:00,toss,삼성전자,
"와 삼전 배당 거의 3프로 다와가네 
이젠 성장주보다는 가치주로 봐야하나",2024-12-20T11:35:34+09:00,toss,삼성전자,
3분만 기다렸다가 500원에 팔껄마이너스 30마넌 봤는데,2024-11-14T10:17:07+09:00,toss,삼성전자,
삼성전자 레버리지 상품 있나요,2024-10-19T13:12:06+09:00,toss,삼성전자,
75 매도벽 보소,2024-03-04T13:56:45+09:00,toss,삼성전자,
없을까여 그래도 새무성인데,2024-10-14T13:12:25+09:00,toss,삼성전자,
미국에서 반도체 보조금 6070억달러 지급한다는데 호재 아입니까,2024-04-09T23:38:35+09:00,toss,삼성전자,
와 장초반부터 외인보소 이건 강하게 돌파 하겟단거내,2025-02-20T09:01:59+09:00,toss,삼성전자,
"얘는 나랑 원수인가봐
샀다하면 쳐물리네",2024-05-24T09:37:16+09:00,toss,삼성전자,
56 주차 명령이다,2025-02-12T14:27:55+09:00,toss,삼성전자,
미주 중심으로 하는데 여긴 파란색밖에 안보이네요,2024-11-12T11:56:44+09:00,toss,삼성전자,
일단 털구요,2024-08-30T11:43:15+09:00,toss,삼성전자,
6만가즈아,2025-02-11T10:02:21+09:00,toss,삼성전자,
정찰병 참 고생이많아,2024-11-13T09:13:44+09:00,toss,삼성전자,
장난질 on,2025-02-18T09:00:30+09:00,toss,삼성전자,
국장욕해봤자 다 소용엄씀 어차피 외국인들한텐 맛집임,2025-03-07T17:52:56+09:00,toss,삼성전자,
오늘 일좀 하네 그레프,2025-02-12T14:21:53+09:00,toss,삼성전자,
소소하게 진입,2024-08-08T11:34:07+09:00,toss,삼성전자,
"아이고 
정말 개잡주 되어
어제 모두 던졌는데
아이고 배야
이럴게 되는게 없네",2024-03-20T14:59:15+09:00,toss,삼성전자,
기다리면 언젠가 8만원 옴니다 삼전 홧팅,2024-11-05T15:10:46+09:00,toss,삼성전자,
"늘 그랬는데 새삼스럽게
놀라십니까
진정하십시다",2024-09-06T13:45:20+09:00,toss,삼성전자,
애플 개같이 오르길래 너도 갈줄알앗는데,2024-06-12T13:09:52+09:00,toss,삼성전자,
전 61층요,2024-10-08T10:00:20+09:00,toss,삼성전자,
"6만전자네
5700원에 팔고 현대차로 갈아탔더랬음 

삼전 살아나고
국장도 살아났음 좋겠다 가좌앙",2024-10-31T11:48:06+09:00,toss,삼성전자,
"오늘은  그래도 무빙이 테슬라하닉급
처럼 나락은 면했네

나름 대한민국 최고주식 답게 선방했다
그나마 대한민국 주식 중에
외인 기관의 영향을 최소로 받는 주식 인정",2024-08-02T16:03:06+09:00,toss,삼성전자,
"진짜 가둬놓고 개패네 
어우 난 못들어가겠다",2024-11-22T12:08:59+09:00,toss,삼성전자,
갑자기나 개쳐물리게하다가 갑자기,2024-06-12T14:53:15+09:00,toss,삼성전자,
"05퍼 조정 
완전 럭키 비키 잖아
아무도 안올려서 제가 올려요 
옆동네 닉스 조정 보면
확실히 삼쪽이가 달라졌다능",2025-02-20T15:46:42+09:00,toss,삼성전자,
"외인이랑 기관 사들이네요 일단 주린이지만 존버해볼래요 내려가면 줍줍하죠머
일단 올라가자",2024-03-26T11:17:27+09:00,toss,삼성전자,
"진짜 욕나온다 
어제 오늘 하는짖보면
외인들보다 더한 들이네",2024-08-07T15:39:41+09:00,toss,삼성전자,
로켓발사 가주아,2024-12-30T13:50:17+09:00,toss,삼성전자,
,2024-09-27T09:11:05+09:00,toss,삼성전자,
지금 안사면 언제 사냐,2024-10-23T09:52:17+09:00,toss,삼성전자,
지옥은,2025-01-31T09:01:22+09:00,toss,삼성전자,
정신 안 차리냐,2024-11-07T09:08:47+09:00,toss,삼성전자,
관세성애자 트럼프가 대통령되면 더 답없겠네,2024-11-06T14:47:25+09:00,toss,삼성전자,
삼전 단타맛집됨,2023-09-20T10:07:30+09:00,toss,삼성전자,
내 평단 언제오남  76,2023-05-30T10:59:43+09:00,toss,삼성전자,
안되는데 거래,2025-03-04T08:00:40+09:00,toss,삼성전자,
환율 1430원 진짜 나라 망항건가봐요,2024-12-09T10:49:03+09:00,toss,삼성전자,
좀 내려가물좀타게,2025-03-12T09:00:48+09:00,toss,삼성전자,
더 오를거같은데 일단 조금만 수익실현,2024-11-18T10:42:10+09:00,toss,삼성전자,
삼전 오늘,2025-02-12T14:50:45+09:00,toss,삼성전자,
오르는걸 까먹은 종목 같다,2025-01-24T14:51:56+09:00,toss,삼성전자,
나도 팔고싶다,2024-12-12T15:10:06+09:00,toss,삼성전자,
드디어 본전 탈출이냐 버티기냐 그것이 문제로다,2025-02-11T09:53:35+09:00,toss,삼성전자,
왘,2024-10-25T09:22:32+09:00,toss,삼성전자,
모간이 매수 시작했네요,2024-11-19T09:05:36+09:00,toss,삼성전자,
이렇게많았다고,2024-10-11T10:22:12+09:00,toss,삼성전자,
어제팔걸,2024-11-27T11:46:58+09:00,toss,삼성전자,
httpsggultip1253tistorycomentry2023EB8584EC82BCEC84B1ECA084EC9E90ECA3BCEAB080ECA084EBA79D,2023-09-20T14:08:01+09:00,toss,삼성전자,
일단 후퇴,2024-11-20T10:08:06+09:00,toss,삼성전자,
아니 산지 얼마나됫다고 20퍼냐 코인이냐,2024-11-13T15:45:47+09:00,toss,삼성전자,
