content,timestamp,platform,stock_name,label
"삼전 관련기업은 월요일 나름 선방할테고 

기존에 엔비디아 영향으로 상승했던 하이닉스쪽은 박살나겠네요",2024-04-20T07:47:26+09:00,toss,삼성전자,
내일 4만 전자 예상 호덜덜,2024-11-13T14:21:15+09:00,toss,삼성전자,
초격차 가봅시다,2024-07-17T08:51:22+09:00,toss,삼성전자,
삼전 급등 하면서,2024-10-23T13:47:55+09:00,toss,삼성전자,
삼쪽이가 안달라졌어요,2024-11-22T09:19:09+09:00,toss,삼성전자,
나는 널 믿었어 8만 가즈아,2025-02-19T11:50:27+09:00,toss,삼성전자,
굿,2024-09-06T13:07:58+09:00,toss,삼성전자,
드디어 탈출기회가왔다,2023-12-22T09:03:45+09:00,toss,삼성전자,
"외인님들이 모시는 롤러코스처 출발합니다

근데 외국인 친구들도 급하네 일주일 정도는 더 낚시바늘 걸어놓을만 한데",2024-11-20T12:51:33+09:00,toss,삼성전자,
가보자,2025-02-18T20:32:28+09:00,toss,삼성전자,
임마는 젠슨황님께서 언급해줘도 외인들이 나가네,2024-11-25T10:32:45+09:00,toss,삼성전자,
제 자리에 있지 않다면 다이아몬드는 그저 석탄 같은 탄소 화합물에 불과하다,2025-01-17T10:53:08+09:00,toss,삼성전자,
살려줘,2024-08-26T12:07:47+09:00,toss,삼성전자,
선발대지만 어이가 없네,2025-01-10T09:29:53+09:00,toss,삼성전자,
사람은 참 간사하다 575가 평단이라 평든 찍자마자 탈출각 보고 있었는데 욕심이 생기고 더 샀어야했나 흐회가 되네 좀만 더 지켜보다가 65에 팔아야지,2025-02-20T09:48:26+09:00,toss,삼성전자,
우원개발A046940 여기 개맛집이누,2024-07-31T09:02:15+09:00,toss,삼성전자,
4만전자 함 더와라 시원하게 시드 털어 물 한번 타고 느긋하게 장투하게,2024-11-18T12:41:39+09:00,toss,삼성전자,
토할거같아,2024-11-13T12:44:19+09:00,toss,삼성전자,
직접 보고 계십니다,2024-10-23T10:11:32+09:00,toss,삼성전자,
삼전은 오늘 장안섰나요 자대고 횡보에 금그었나,2024-12-11T15:24:01+09:00,toss,삼성전자,
대한민국 역사상 이런 정부는 어디에도 없었음 세상에,2024-11-13T13:27:46+09:00,toss,삼성전자,
59로,2025-03-18T14:03:29+09:00,toss,삼성전자,
차트 바코드,2024-05-16T14:10:16+09:00,toss,삼성전자,
,2024-10-22T14:32:33+09:00,toss,삼성전자,
지금 호가 이상함,2023-06-09T15:21:53+09:00,toss,삼성전자,
역대급 폭등,2025-03-17T12:51:52+09:00,toss,삼성전자,
"선관위 부터 털었자나 헌데 진짜 부정선거 나오는거지
그래서 정당 해산권을 발동하는 거야 물론 민주당은 개난리 하면서 못 받아 들인다고 하겠지
그러면 임기단축 vs 정당해산 개싸움 나는거야
그러면 국장은 얼마까지 떨어질까",2024-12-08T02:36:24+09:00,toss,삼성전자,
외국인이 산다니,2024-12-24T13:13:29+09:00,toss,삼성전자,
문열어 심심해,2024-06-06T13:46:04+09:00,toss,삼성전자,
쬐금 올라가서 좋아하면 또 후두둑 떨어지네,2024-10-08T14:47:42+09:00,toss,삼성전자,
으럇으럇,2024-10-08T10:14:18+09:00,toss,삼성전자,
"삼전이 하루에 3 오른적이 없는데
신기록이네",2023-10-11T10:30:34+09:00,toss,삼성전자,
애국심,2025-01-31T10:05:11+09:00,toss,삼성전자,
진짜 무섭게 빠지네 정찰병 바로 목따이네,2024-11-13T08:55:11+09:00,toss,삼성전자,
하나씩 모아보기,2024-10-07T09:10:44+09:00,toss,삼성전자,
에제갑자기 올라서,2024-05-08T09:31:11+09:00,toss,삼성전자,
가보자 띠바거,2024-10-15T11:09:45+09:00,toss,삼성전자,
