content,timestamp,platform,stock_name,label
삼성맨들은 이재용 경영 능력이 뛰어나다고 생각하지 않는다는데 어케 생각하심,2024-06-05T09:16:22+09:00,toss,삼성전자,
,2024-11-28T19:27:09+09:00,toss,삼성전자,
8만에서 61590까지 온 보람이 있네,2025-03-21T11:04:05+09:00,toss,삼성전자,
오늘 5만전자 간다 안간다,2024-10-15T10:02:21+09:00,toss,삼성전자,
원금이 없어진다는 국장에 손을 댑니다,2025-01-02T12:48:39+09:00,toss,삼성전자,
"그래도 옆동내 하닉만큼은 안빠지는게 다행인가
삼전은 그래도 미래적으로 봤을때 그나마 괜찮거나
저평가는 확실한것 같기도",2024-04-22T09:06:16+09:00,toss,삼성전자,
올랐다,2024-12-30T09:41:54+09:00,toss,삼성전자,
"삼성 갤탭 왜 그따구로 만들어
원가절감 적당히 해라",2024-10-08T11:17:30+09:00,toss,삼성전자,
"넘 늦게 들어왔다
낚시 바늘에 걸렸다",2024-09-26T21:57:20+09:00,toss,삼성전자,
애국하는 마음으로 삼성전자 주식삼 힘내라 삼성전자 문 정권 때 시달리느라 피같은 시간 날리고,2024-10-11T09:28:17+09:00,toss,삼성전자,
"더 높으시면 댓글좀
코스피 안 오르네",2024-11-08T13:14:09+09:00,toss,삼성전자,
국장은 안하지만 4200원되면 주우러 올께용,2024-11-13T14:01:34+09:00,toss,삼성전자,
삼전은 항상 비실비실 남들오를때 못오르다가 떨어질때만 같이 떨어짐,2025-03-14T12:36:34+09:00,toss,삼성전자,
"Nvdl로 7월에사서 40퍼 갔다가10퍼먹고
3개월만에 탈출했는데 
삼전 이거는 거진2년 묵혀서 8만전자에서
5만전자로 꼬라박네 
진짜 열불나서
미장이 답임",2024-10-17T10:59:20+09:00,toss,삼성전자,
이제 물타기할 돈이 없다 그렇다고 수수료 주고산 금을 팔수도 없고 내년까지 갖고 갑니다,2024-09-20T04:55:33+09:00,toss,삼성전자,
"외인들 설거지쑈쑈 

진짜 처절하다",2024-11-14T16:14:49+09:00,toss,삼성전자,
1500원씩 내릴때마다 매수중,2024-11-13T11:47:16+09:00,toss,삼성전자,
손절해요,2023-09-01T11:04:17+09:00,toss,삼성전자,
"3시이후 매수

세경하이테크 7500
아이쓰리시스템 44150
파마리서치 241500
hd현대 월요일종가 78600 이하면진입",2025-02-09T21:29:37+09:00,toss,삼성전자,
수량  모 우기,2023-11-03T14:43:32+09:00,toss,삼성전자,
고점이네,2024-06-19T12:39:39+09:00,toss,삼성전자,
역시  안팔구 가지고있길 잘했어,2024-04-02T11:45:44+09:00,toss,삼성전자,
"공무원들 퇴근시간에 튀는거보면 국가에서 낮동안 누루고 있는게 맞긴한가봄
외환보유고가 얼마나 버틸지",2024-12-11T17:05:03+09:00,toss,삼성전자,
가치투자를 하세요,2024-10-24T17:05:30+09:00,toss,삼성전자,
"그냥 핸드폰 내 돈주고 사고 
방구석에서 유투브보면서 피자를 먹는게 훨 좋다",2024-10-24T20:39:21+09:00,toss,삼성전자,
겨우 탈출했네 휴,2024-03-21T09:54:53+09:00,toss,삼성전자,
"올해 6만전자간다
간다",2025-02-06T12:24:14+09:00,toss,삼성전자,
아직도 이런 언론자료로 장난질하는거 보면 아직 삼성은 정신차리려면 멀었는듯,2024-11-25T09:03:00+09:00,toss,삼성전자,
6만 초반 뚫으면 7만 까진 매물 거의 없는데 제발,2025-03-19T10:18:55+09:00,toss,삼성전자,
언젠가는 오르겠지 더떨어지면 더사고,2023-07-07T14:15:38+09:00,toss,삼성전자,
"8만전자일때 털고 나왔어야지
25년은 어려워보이고 최소 26년은 되봐야 시도할듯",2024-09-11T23:26:31+09:00,toss,삼성전자,
10월1520일 사이에 하루이틀정도 반짝오르고 11월 초반부터 야금야금 오를것으로 예상해봅니다,2024-10-08T10:25:58+09:00,toss,삼성전자,
이제 하락하자,2024-10-15T14:33:18+09:00,toss,삼성전자,
얼마나 떨어질지,2024-05-30T09:11:06+09:00,toss,삼성전자,
한강온도재러가야겟네,2024-09-11T09:11:50+09:00,toss,삼성전자,
네 제가 그렇습니다 배가아프네요,2025-01-08T10:39:53+09:00,toss,삼성전자,
전 아직 숨 쉴 수 없어요,2024-12-03T09:15:29+09:00,toss,삼성전자,
이건 아니잖아,2024-11-14T16:41:30+09:00,toss,삼성전자,
오늘 몇프로 오르려나,2024-09-20T07:38:05+09:00,toss,삼성전자,
얼마나 갈까,2025-02-04T09:10:07+09:00,toss,삼성전자,
곧6만전자될거같으면개추,2025-03-17T09:14:18+09:00,toss,삼성전자,
더 떨어질까요,2024-08-05T12:11:32+09:00,toss,삼성전자,
24,2025-03-11T10:56:18+09:00,toss,삼성전자,
껌값감사합니다,2023-06-30T14:28:10+09:00,toss,삼성전자,
대체 남들주식은 오르는데 난대체 왜 안오르건 뭐요,2023-09-19T13:55:19+09:00,toss,삼성전자,
파랗게 질렸네,2024-11-12T12:57:16+09:00,toss,삼성전자,
"그가 샀습니다

 내려",2024-10-08T10:02:15+09:00,toss,삼성전자,
영차영차,2024-12-12T16:29:57+09:00,toss,삼성전자,
간다,2024-10-22T12:43:12+09:00,toss,삼성전자,
JP모건에서 목표가 6만원,2024-12-11T00:14:04+09:00,toss,삼성전자,
갤레기 재부팅 외국사례도 있어서 집단 소송으로 갈꺼 같은데,2024-10-03T20:47:18+09:00,toss,삼성전자,
잘 놀다갑니다,2023-12-21T12:33:13+09:00,toss,삼성전자,
"이게 한국 대장주다
기적이다 5년간 47
파킹통장도 15주는걸",2025-01-15T15:31:48+09:00,toss,삼성전자,
무슨일이야,2024-10-22T09:59:30+09:00,toss,삼성전자,
삼성전자A005930는 지난 영업 이익이 바닥일 가능성이 높고 per  또한 9로 상당한 저평가 영역에 있다고 볼 수 있습니다 아직 충분한 유동성이 국장으로 유입되지 않아 주가가 지지부진 한 것처럼 보이기도 하지만 조금씩 저점을 높이는 모습을 보이고 있습니다 상승 포텐셜이 상당하다고 개인적으로 보이네요,2023-06-14T17:33:20+09:00,toss,삼성전자,
주식 개망했다,2024-12-07T17:57:39+09:00,toss,삼성전자,
더살껄,2025-03-17T09:13:09+09:00,toss,삼성전자,
구질구질하다 음전가자,2024-09-20T12:43:54+09:00,toss,삼성전자,
개미들이 겁나쌓이니 아주쫌만 올라도 던지니 주가가 안오르지,2024-08-09T12:34:24+09:00,toss,삼성전자,
,2024-06-14T09:46:17+09:00,toss,삼성전자,
9만 갈 수 있을까,2023-07-12T16:39:51+09:00,toss,삼성전자,
경제는 내 란 수  괴 가  말아먹네요,2024-12-04T14:32:03+09:00,toss,삼성전자,
건강한 조정,2025-02-21T10:40:25+09:00,toss,삼성전자,
삼전에 손댄 내가개호구네,2024-12-02T09:35:39+09:00,toss,삼성전자,
요즘 푸틴도 그렇고 이스라엘도 그렇고 왤케 세계가 급진적이죠 트럼프도 그렇고 한동안 너무 평화로웠나,2024-12-04T08:25:04+09:00,toss,삼성전자,
와 57층 뚫렸네 50층 오면 사러 올게,2024-10-24T16:45:26+09:00,toss,삼성전자,
난 삼전 주식 한주도 가지고 있지는 않지만 갠 적으로 많이 올라서면 좋겠습니다,2024-12-21T12:33:34+09:00,toss,삼성전자,
지금인가 600원에 사서 내년 78월쯤 8만원에 팔자,2024-10-07T20:20:18+09:00,toss,삼성전자,
4만5천원 오면 풀매수합니다,2024-11-13T11:48:24+09:00,toss,삼성전자,
,2024-11-13T09:29:16+09:00,toss,삼성전자,
두번째 자리 6자를 보다니,2024-10-24T16:05:31+09:00,toss,삼성전자,
와진짜 충격스럽다,2024-11-13T12:21:26+09:00,toss,삼성전자,
삼전은 반도체 상승장엔 반도체회사가 아니라 종합전자회사라고 하면서 안 오르고 떨어질때는 반도체 빠지면 그냥 빠지네,2024-10-23T09:27:24+09:00,toss,삼성전자,
"슬슬
사야하나",2024-09-19T12:13:02+09:00,toss,삼성전자,
외인들이 한달넘게 팔다가  이틀동안 고작27만주정도 사들이고 그담 다시 던진다는건 답이없다는거겠죠,2024-11-01T14:23:55+09:00,toss,삼성전자,
전인구 반대매매법 신탁을 믿어라,2024-11-19T22:34:41+09:00,toss,삼성전자,
"개인이 문제네요
좀기다리지 다 팔아치우네
그래서 개미인가보네",2024-05-22T10:36:07+09:00,toss,삼성전자,
"너랑
머티만 갖고간다",2024-01-17T11:39:29+09:00,toss,삼성전자,
"이미 s k 한테 따잇 당하고
폴드 Se출시 국내에 천대는 팔릴라나 
4만전자 안사요 3만전자면 고민해봄",2024-10-24T16:45:35+09:00,toss,삼성전자,
"트럼프야 미국이니깐 자급자족 되니깐 무적이지 동맹국들 다 죽으라는거 아닌가 

달러 무제한 스와프 해줄것도 아니면서 참  

이런식이면 일본 캐나다 호주도 다 등돌린다",2024-12-03T08:28:49+09:00,toss,삼성전자,
김건희는 도이치 통정매매로 22억 벌었다는데 나는 이게 뭐꼬 섬전아,2024-09-20T14:02:24+09:00,toss,삼성전자,
"현시점 외인이 매수하는 이유는 
미장 하락으로 인한 자금 이탈로 타국 증시 저평가된 주가 매입하는것도 있음",2025-03-04T10:22:02+09:00,toss,삼성전자,
하루하루 소소한 행복,2025-02-14T09:54:40+09:00,toss,삼성전자,
본전은오갔지,2024-08-05T14:27:36+09:00,toss,삼성전자,
"어제 살짝 반등 줬다고 환호하던데
단타칠거 아니면 더 내려가니 기다려야해요",2024-10-29T09:43:10+09:00,toss,삼성전자,
삼성이 9를 찍는 날이 올까요,2024-02-18T09:52:05+09:00,toss,삼성전자,
가즈아,2025-03-17T09:05:17+09:00,toss,삼성전자,
한번 더 추매,2024-11-19T09:17:41+09:00,toss,삼성전자,
지금 추매,2025-03-21T10:32:39+09:00,toss,삼성전자,
싹다정리했으니 이제 5만으로 내려오세요  기다릴게요,2023-12-13T17:40:07+09:00,toss,삼성전자,
mood,2025-01-07T01:16:06+09:00,toss,삼성전자,
H BM  약발 끝,2024-08-08T14:41:30+09:00,toss,삼성전자,
음,2025-02-26T11:51:12+09:00,toss,삼성전자,
할아버지 말이 이루어지고있어요,2023-06-05T13:30:03+09:00,toss,삼성전자,
와 삼전인데 내랴가는 속도 뭐임,2024-01-16T09:55:58+09:00,toss,삼성전자,
외인 받아주려고 자사주 사는거임,2024-11-20T09:32:16+09:00,toss,삼성전자,
"삼전은 3배 레버리지 만들어라
뭔 변동폭이 골드여",2024-12-23T17:20:51+09:00,toss,삼성전자,
"삼성전자
는 국력입니다
기쁠때나어려울때나
언제나 함께 합니다",2024-11-18T13:14:27+09:00,toss,삼성전자,
"엔비디아 오랫만에 옛날 신의 모습보였다
지금도 계속 하늘 뚫는데 

SK하이닉스는 내일 날을듯
삼성도 반사이익

그렇다면 오늘 9시 삼성 얼마까지 갈까",2024-09-25T02:29:44+09:00,toss,삼성전자,
"오르면 가진거 올라서 좋고떨어지면 싸게 더 살수있어 좋고좋게좋게 생각하자구요
스트레스들 너무 받지마시고 원래 해뜨기전이 어둡자나요",2024-11-01T01:20:27+09:00,toss,삼성전자,
