content,timestamp,platform,stock_name,label
꽉잡아요,2024-12-20T14:45:47+09:00,toss,삼성전자,
아72층 까지 연료가 없나보네,2023-05-26T16:37:22+09:00,toss,삼성전자,
머냐 이그,2025-01-16T12:38:58+09:00,toss,삼성전자,
외국인 소진율 봐라 8만원대 일때 소진율이 되간다,2023-11-23T09:29:58+09:00,toss,삼성전자,
아아 삼멘,2025-03-20T20:49:22+09:00,toss,삼성전자,
컷,2023-09-27T12:36:15+09:00,toss,삼성전자,
"주식 고수님들 삼성 요즘 심상치 안던데
설마 망하려나요",2024-10-23T18:36:48+09:00,toss,삼성전자,
간만에 빨간 호가창 보기좋구나야,2025-02-04T10:32:03+09:00,toss,삼성전자,
에구에구망할기관아  같이 쫌 가자 와 던지노그냥 지켜만봐주라,2024-11-18T14:58:23+09:00,toss,삼성전자,
"삼성전자 소식을 가져왔어요

삼성전자가 하루만에 하락세로 전환했다 SK하이닉스도 2 약세다
엠피닥터에 따르면 18일 오전 9시 30분 삼성전자는 전 거래일보다 200원034 내린 5만 9500원에 거래 중이다 장 초반 6만원을 터치하기도 했지만 하락세로 전환했다


 토스증권에서 기사 보기
httpstossinvestcomulCEwfEB

 앞으로 삼성전자A005930의 주가는",2024-10-18T09:36:32+09:00,toss,삼성전자,
기사떳음,2025-01-09T09:12:17+09:00,toss,삼성전자,
"자사주매입 100만주 떴네요
매수단가 55425원",2024-11-20T16:44:20+09:00,toss,삼성전자,
목전이네이런,2024-11-13T10:10:59+09:00,toss,삼성전자,
또 왜이래,2023-07-05T10:03:32+09:00,toss,삼성전자,
아 아직 덜 담았다고,2024-10-14T15:41:52+09:00,toss,삼성전자,
팔지마  배당금이라도 받아야지,2023-06-09T11:20:52+09:00,toss,삼성전자,
어디서 봤늠데 5만까지도 떨어진다는데 사실 아니겠죠 덜덜,2024-08-05T14:45:05+09:00,toss,삼성전자,
저점일까,2024-09-13T16:36:46+09:00,toss,삼성전자,
얘네 진심 이제 스마트폰 접는거 말고 잘하는 게 뭐냐,2024-11-14T13:33:27+09:00,toss,삼성전자,
"미 상무부 바이든 임기내 미국 칩스법반도체지원법 통과 유력
삼성전자 보조금 64억 달러8조 800억 지급
세부사항만 남고 곧 발표 예정일 듯

HBM4 관련 삼성이 테슬라에 납품설

외인들이 사는데는 다 이유가 있겠죠
외인들이 자사주 매입 발표 전 대량매집했듯이",2024-11-21T13:45:56+09:00,toss,삼성전자,
100주 채우는날일거같습니다,2024-12-03T08:26:15+09:00,toss,삼성전자,
"삼전 없지만 우리나라 삼전이 85를 뚫었다는거에서 매우 행복하네
삼성 화이팅",2024-07-05T10:59:48+09:00,toss,삼성전자,
뭐지 원래 이거 주가가 각지게 움직였는데 오늘 왜이럼,2024-10-23T10:02:27+09:00,toss,삼성전자,
,2024-06-12T22:08:59+09:00,toss,삼성전자,
븅신같은 삼전놈들아 임원들이 자사주 사지말고 기업단위로 자사주를 사서 소각하라고 니네 임원들 호주머니 턴다고 한강물 한바가지 퍼마시는거랑 뭐가달라,2024-10-04T18:20:31+09:00,toss,삼성전자,
"오늘 3조 다 자사주 매입해야 지킬것같은데 
외인 기관 너무 판다",2024-11-18T14:13:07+09:00,toss,삼성전자,
완전 작전주네,2024-11-12T21:20:52+09:00,toss,삼성전자,
