content,timestamp,platform,stock_name,label
조금씩 모으세요,2024-08-26T11:31:53+09:00,toss,삼성전자,
반도체 악화에 거기다가 금투세가 뭐라고 다 실망매물이죠 눈치빠른 버거형들은 이미 다 정리했나봅니다,2024-09-09T14:44:01+09:00,toss,삼성전자,
개미털기 작전 좋았다,2023-10-13T10:48:51+09:00,toss,삼성전자,
더 태우고 싶었는데 돈이없네,2023-10-19T10:08:27+09:00,toss,삼성전자,
삼전도 4년다림끝에 10퍼수익중 장투 회사에믿음이있으시면 같이가는거죠,2023-07-11T19:51:04+09:00,toss,삼성전자,
엔비버리고 삼전갈아타야긋네,2024-11-26T11:59:01+09:00,toss,삼성전자,
주가가 아이스크림 마냥 녹아내리네요,2024-11-20T13:31:56+09:00,toss,삼성전자,
장하다 삼전아 지수 지켜줘서 고마워,2023-09-07T15:36:57+09:00,toss,삼성전자,
"관심 가져보아요
쿄쿄",2025-02-06T11:57:46+09:00,toss,삼성전자,
쫄리면파시구요,2024-04-05T09:42:06+09:00,toss,삼성전자,
"게임오버

모조리 잡아다가

싹 다 구속시켜버렷",2024-10-10T11:34:51+09:00,toss,삼성전자,
코쟁이들 오늘도 파네,2024-11-06T09:11:44+09:00,toss,삼성전자,
회사가 망했나요,2024-11-13T09:18:32+09:00,toss,삼성전자,
3만전자 가긋네 에라이,2024-10-10T10:15:20+09:00,toss,삼성전자,
아까 4만전자 안가면 랄건다는사람 진짜 간발의차로,2024-11-14T17:42:25+09:00,toss,삼성전자,
줍쥽하면 그만,2024-09-20T15:18:53+09:00,toss,삼성전자,
인내심갖고 존버가 답,2024-03-25T23:36:18+09:00,toss,삼성전자,
계단식 하락이 젤무서움,2024-09-11T14:27:33+09:00,toss,삼성전자,
오늘도 기대를 안해야 겠네요,2023-07-21T09:10:39+09:00,toss,삼성전자,
"나좀 나가자
내일 또내리겠네",2024-06-17T19:56:58+09:00,toss,삼성전자,
3년후 다시 7만전자 가냐,2024-10-10T15:15:54+09:00,toss,삼성전자,
삼성 양전했습니다,2024-10-21T13:45:38+09:00,toss,삼성전자,
삼전으로 돈버는장,2024-09-25T09:02:51+09:00,toss,삼성전자,
닌 머하냐,2024-09-23T14:36:53+09:00,toss,삼성전자,
야삼성너무한다,2024-08-09T12:27:36+09:00,toss,삼성전자,
이젠 물타기도 무섭다,2024-10-24T16:01:05+09:00,toss,삼성전자,
결국은 가겠지 위로,2025-01-21T15:13:36+09:00,toss,삼성전자,
우째요,2025-02-18T11:44:52+09:00,toss,삼성전자,
"황젠슨형님덕분에 안전 탈출했습니다

나라도 못살려주는 주가 섬짱깨 형님덕분에 빠르게 합니다 충성충성",2024-03-22T11:28:26+09:00,toss,삼성전자,
전고점이 악재가 많은 상태에서 8800이네요기다리면 9만가능할꺼 같은데,2024-08-16T15:37:34+09:00,toss,삼성전자,
8만찍는게 힘든거였구나,2024-01-10T20:32:19+09:00,toss,삼성전자,
"평단 60850원 
탈출 하고싶습니다
물린지 어느덧 한달 되어가는데",2024-10-29T13:00:56+09:00,toss,삼성전자,
"삼성 믿습니다 이번에
플립 폴드 워치 버즈 싹다 새로 출신 하니 주식도 올라 갑시다",2024-07-05T10:32:15+09:00,toss,삼성전자,
"무슨생각들로 던지는거 받고잇는 겁니까
뭐 천하장사 왕개미 인가요",2024-11-12T13:16:34+09:00,toss,삼성전자,
외국인투자자들 그냥 한번에 다 팔지 왜 야금야금 떨어뜨리면서 파는걸까요지들도 손해일텐데,2024-10-10T10:13:14+09:00,toss,삼성전자,
25 1q 어닝서프 까지 존버,2025-01-08T10:22:03+09:00,toss,삼성전자,
다들 테슬라로 이사간겨,2024-11-12T15:51:54+09:00,toss,삼성전자,
무섭게 내려가네요,2025-01-09T13:32:04+09:00,toss,삼성전자,
httpsnaverme5mI3LbGI,2024-08-14T08:23:08+09:00,toss,삼성전자,
오늘도 무사히,2025-02-06T16:05:55+09:00,toss,삼성전자,
66300원 총알대기중,2024-09-06T20:45:01+09:00,toss,삼성전자,
오예 추매 힛,2024-01-10T11:11:28+09:00,toss,삼성전자,
삼성전자능 언제오르나요,2024-03-22T10:51:10+09:00,toss,삼성전자,
상황이 그래도 전체적인 기울기가 조금씩 0에 수렴하려는거 보면 나아지고 있는 상황인것 같은데 여기서 더 큰하락만 않왔으면 좋겠다,2024-12-09T11:00:14+09:00,toss,삼성전자,
어차피 안 갈 거 다앎,2025-01-08T13:35:15+09:00,toss,삼성전자,
내가 대한민국 일짱이야 새킈들아,2024-11-15T12:30:40+09:00,toss,삼성전자,
이대로 윤통 탄핵 당하고 다음 정권 들어서면 어떻게 되실거 같나요 앞으로 민주당이 계속 당선 된다면 국회에 대통령까지 이제 막을수 없게 되고 자기들 원하는 뭐든걸 할 겁니다 국민이 그걸 막을수는 없습니다 이제 트럼프의 시대입니다 반미하는 순간 중국과 같은 취급 당합니다 경제 기술 반도체 방위산업 전부 무너질겁니다 대체가능한 나라가 바로 옆나라에 있죠 중요 인력들은 해외로 나갈것이고 앞으로 대한민국의 미래입니다 국장은 그만 포기하세요,2024-12-04T12:20:16+09:00,toss,삼성전자,
진짜 실화인가,2024-11-06T12:50:48+09:00,toss,삼성전자,
안돼 다시 5만 전자 가지마,2025-03-20T12:51:37+09:00,toss,삼성전자,
삼전주주 3년차 이런날도있구나,2024-03-20T11:14:36+09:00,toss,삼성전자,
"외인이 버려도 기관이 버려도 
대한민국이 받아서 살리면됩니다",2024-10-24T15:39:05+09:00,toss,삼성전자,
57층이면 버틸만 한가요,2024-10-29T11:07:02+09:00,toss,삼성전자,
굳,2024-07-02T09:24:29+09:00,toss,삼성전자,
성투요,2023-09-15T16:06:19+09:00,toss,삼성전자,
삼성전자 올해 첫 조단우 영업익 블황 끝이 보인다 1 2 분가 연속 600억원대였다가 3분기 24보 가록,2023-10-12T09:45:22+09:00,toss,삼성전자,
4만전자 가즈아,2024-12-04T09:02:59+09:00,toss,삼성전자,
오늘 드디어 무너지는구나,2024-11-13T16:17:25+09:00,toss,삼성전자,
싸다싸,2024-10-21T14:59:44+09:00,toss,삼성전자,
오늘 5만깨집니다,2024-11-14T11:30:15+09:00,toss,삼성전자,
삼전 심하넹  후미,2024-11-13T13:55:46+09:00,toss,삼성전자,
인제 주주 한테도 손가락질 당한네요,2024-06-12T12:44:41+09:00,toss,삼성전자,
삼전장투자자,2024-02-07T07:19:38+09:00,toss,삼성전자,
어닝쇼크인데 가격방어하는거 보면 6만원이 바닥인거가터,2024-10-08T09:11:09+09:00,toss,삼성전자,
더살끄야,2024-05-29T12:34:15+09:00,toss,삼성전자,
다음주에 76 돌파할거란 생각은 깔끔하게 접어야할듯,2024-02-15T15:21:51+09:00,toss,삼성전자,
아고 마 기가차긴 하네,2024-09-20T15:23:21+09:00,toss,삼성전자,
50500까지 쭉 하방임,2024-11-14T11:41:24+09:00,toss,삼성전자,
6만 전자 돌파 하자,2025-02-17T09:03:35+09:00,toss,삼성전자,
어지간히 안 좋으면 이렇게 증권가 이용해서 여론몰이 작업칠까 디램은 사실상 죽었다고 봐야함,2023-07-28T09:04:47+09:00,toss,삼성전자,
줄먹,2025-01-03T09:45:49+09:00,toss,삼성전자,
잠깐 쉬었다 갈게,2025-02-24T09:10:41+09:00,toss,삼성전자,
오늘이 고점이네,2024-12-20T09:42:31+09:00,toss,삼성전자,
"AI 2024 AI 2025 AI 벨류체인 AI 관련주
httpsmblognavercomsierrajuliet223719701070",2025-01-13T14:49:43+09:00,toss,삼성전자,
"같이망하자 
대한민국 삼성 나",2024-05-30T12:06:45+09:00,toss,삼성전자,
"개인 외국인 210만주 팔고 기관 95만주 샀는데 오늘 왜 19 상승해요

멍청하다고 욕하지말고",2024-11-21T17:05:08+09:00,toss,삼성전자,
