content,timestamp,platform,stock_name,label
"므하노
마
일좀해라 마",2024-11-08T11:41:31+09:00,toss,삼성전자,
세일끝,2024-11-19T13:57:27+09:00,toss,삼성전자,
잡주다 잡주 에휴,2024-12-20T09:03:36+09:00,toss,삼성전자,
"수억개 물량을 개미들이 다 받아내서 탑승한 개미만 우글우글거리고 세력들은 밖에서 구경중인데 우상향이 어케되겠누  박스안에 가두고 흔들면서 실망감에 개미들 물량 던지면 그때서야 출발할까말까지 
미장도 이제 슬슬 단물 빠질때가 되어서 외인들 들어올 수순이긴 하다만 아직은 미장이 재미보기 좋아서 외인들이 안들어와",2024-11-15T13:34:40+09:00,toss,삼성전자,
"요즘 같으면  은행이자가  더 나을듯합니다  
이년째  제자리걸음",2023-08-08T12:11:53+09:00,toss,삼성전자,
"앞으로 개미들 어떻게 하는지 생각해보자

현재와 드디어 올랐다 빨리 튀고 테슬라사야지

삼성 10퍼 오르고 테슬라 주춤아 삼성 다시 들어갈까

다시 들어온 후외국인들 10퍼먹고 물량 넘기고 2침",2024-07-05T09:40:28+09:00,toss,삼성전자,
와 8만전자다,2024-03-28T13:00:27+09:00,toss,삼성전자,
이야 88층까지갓엇네,2025-02-18T13:08:28+09:00,toss,삼성전자,
Soxl 먹고 디저트 먹으러 왔습니다 10만 가자,2024-04-03T15:39:05+09:00,toss,삼성전자,
5만5천  무너지면 흐미 지옥이네  여기는,2024-11-11T12:48:34+09:00,toss,삼성전자,
,2025-03-20T09:05:01+09:00,toss,삼성전자,
4번 물타서67600원 만들었네요언제쯤 오르려나,2023-08-08T11:00:00+09:00,toss,삼성전자,
"떨어지는
주식은 사는거아니다",2024-10-29T00:37:48+09:00,toss,삼성전자,
대단한 개미들이야,2024-04-19T13:44:17+09:00,toss,삼성전자,
,2023-09-29T20:45:50+09:00,toss,삼성전자,
,2024-11-18T10:05:32+09:00,toss,삼성전자,
"일단 하방지지선이

60일선 76만
120일선 74만 이네요

내일도 8만원 무너 지면 서서히 분할매수 하다가

지지선 근처에서 분할 매수량을 늘리는게 좋을것 같습니다",2024-04-16T19:30:37+09:00,toss,삼성전자,
,2024-09-30T15:47:49+09:00,toss,삼성전자,
힘없긴한데 얼마전 4만 본거 생각하면 차근차근 잘 올라가네유,2024-11-26T10:06:25+09:00,toss,삼성전자,
다 조용히하고 내가보여준다고,2024-10-24T13:54:29+09:00,toss,삼성전자,
삼전 오랫동안 해먹었지 이제 망할때도 됨,2024-11-13T13:47:16+09:00,toss,삼성전자,
이제 물탈 돈도 없다,2024-09-30T12:15:27+09:00,toss,삼성전자,
"10만전자 갔다와서 그런거
기업가치 투자면 그런소리 안할거고
단타쟁이들 
그냥 17시나 22시 이후부터 미장 바이오 단타를 하셈 드라마틱한 상승 기대할수있음
대신 손해도 감수

64에 들어와서 지금 달달해  죽겠누
다른 반도체 포트도 잘깔아놔서 뜨거웡",2023-11-02T09:59:48+09:00,toss,삼성전자,
데공항이다 톰황챠,2024-10-31T09:16:17+09:00,toss,삼성전자,
삼성전자 어렵다,2025-02-04T09:06:36+09:00,toss,삼성전자,
오늘은 빌빌대네  다른건 잘가는뎅,2023-07-20T13:12:55+09:00,toss,삼성전자,
내일에는 또떨어질것을,2023-10-17T11:56:04+09:00,toss,삼성전자,
근데 내일 실적나오면 5만갈텐데 왜 벌써 사는거임,2024-10-07T13:24:12+09:00,toss,삼성전자,
니네가 인간이면 자사주 소각좀해라,2024-10-25T11:51:28+09:00,toss,삼성전자,
삼성 차트안본지 오래 평단 8만이니 득도한듯 하네요,2025-03-12T13:37:26+09:00,toss,삼성전자,
"일단 1주판매로 짬뽕 먹기
8만5천에 10쯤 매도 예정이었는데 고민이네요",2024-04-08T11:03:41+09:00,toss,삼성전자,
또야,2024-03-06T09:47:18+09:00,toss,삼성전자,
외국인 700만주,2025-03-21T15:44:01+09:00,toss,삼성전자,
"이제 작년  외인 매수 물량의 60 빠짐
이게 무슨 말이냐면 호재나 환율 떨어지지 않는 이상 아직 40 1억주 빠질게 남았단 소리
물론 0까진  안가겠지만 
60 15억주 빠지는 동안 주가 37빠짐",2024-11-13T15:14:48+09:00,toss,삼성전자,
역시 실망스럽네요,2024-09-05T16:00:45+09:00,toss,삼성전자,
"3조원이면 껌값이죠 오늘 폭락할거같지만
저는 평단 49900원이라 푸근하네요",2024-11-19T08:36:58+09:00,toss,삼성전자,
노후대비용 입니다,2024-01-08T13:45:37+09:00,toss,삼성전자,
다시는 삼전에 발 담그지 않을테니 제발 67만 플리즈,2024-10-10T12:20:12+09:00,toss,삼성전자,
탈출하고 싶다,2024-11-18T15:19:48+09:00,toss,삼성전자,
싱크홀만 이틀 째,2024-09-24T11:24:08+09:00,toss,삼성전자,
너 왜 올라,2024-10-23T13:48:53+09:00,toss,삼성전자,
외국인 물량이 어느정도이길래 계속나오냐,2024-09-23T15:07:31+09:00,toss,삼성전자,
보너스받아서 사는건가,2024-12-20T14:44:22+09:00,toss,삼성전자,
오예,2025-01-16T09:41:48+09:00,toss,삼성전자,
