year,hour,변화율
2024.0,0.0,-17.48
2024.0,2.0,1.1375000000000006
2024.0,3.0,4.250000000000001
2024.0,5.0,-7.080000000000001
2024.0,8.0,45.84
2024.0,10.0,-15.799999999999999
2024.0,11.0,-0.73
2024.0,13.0,8.78
2024.0,15.0,30.82
2024.0,16.0,-31.35
2024.0,17.0,2.125
2024.0,19.0,30.980000000000004
2024.0,22.0,-31.6
2024.0,23.0,-1.7799999999999998
2025.0,0.0,0.15608
2025.0,1.0,-0.23323943661971835
2025.0,2.0,0.07333333333333326
2025.0,3.0,0.1356250000000001
2025.0,4.0,-0.33095238095238144
2025.0,5.0,0.6248275862068965
2025.0,6.0,-0.6372727272727269
2025.0,7.0,0.19727272727272738
2025.0,8.0,0.3230769230769233
2025.0,9.0,3.0707692307692303
2025.0,10.0,-1.6993939393939401
2025.0,11.0,1.0694444444444446
2025.0,12.0,-0.7990909090909093
2025.0,13.0,1.6678260869565227
2025.0,14.0,-1.6143749999999994
2025.0,15.0,-0.15052631578947315
2025.0,16.0,-0.22000000000000047
2025.0,17.0,0.07607142857142898
2025.0,18.0,0.10697674418604687
2025.0,19.0,0.28740740740740656
2025.0,20.0,-0.34048780487804875
2025.0,21.0,-0.11777777777777787
2025.0,22.0,0.33164705882352935
2025.0,23.0,-0.19714285714285726
,,
