year,hour,변화율
2023.0,3.0,
2023.0,5.0,-7.679999999999996
2023.0,9.0,-0.9095000000000001
2023.0,10.0,1.7999999999999996
2023.0,11.0,5.3609090909090895
2023.0,12.0,-19.8875
2023.0,13.0,0.30666666666666664
2023.0,14.0,1.42375
2023.0,15.0,-1.3799999999999994
2023.0,16.0,-6.260000000000001
2023.0,17.0,20.87
2023.0,18.0,-43.02
2023.0,20.0,20.12
2024.0,0.0,-3.688000000000001
2024.0,1.0,-0.2599999999999992
2024.0,2.0,0.3000000000000007
2024.0,3.0,-5.149999999999999
2024.0,5.0,2.3499999999999996
2024.0,6.0,2.8166666666666664
2024.0,7.0,-2.1366666666666667
2024.0,8.0,-0.28370370370370385
2024.0,9.0,0.014751773049645428
2024.0,10.0,0.6581395348837212
2024.0,11.0,-0.7451388888888889
2024.0,12.0,0.01684210526315797
2024.0,13.0,0.01586206896551718
2024.0,14.0,-0.11144578313252995
2024.0,15.0,-0.0021126760563378705
2024.0,16.0,0.10058823529411794
2024.0,17.0,0.39719999999999983
2024.0,18.0,-0.24062499999999998
2024.0,19.0,-1.6716666666666669
2024.0,20.0,0.16666666666666563
2024.0,21.0,12.413333333333334
2024.0,22.0,-14.862
2024.0,23.0,5.972222222222224
2025.0,0.0,
2025.0,1.0,15.8
2025.0,2.0,20.490000000000002
2025.0,5.0,-16.880000000000003
2025.0,7.0,0.16999999999999993
2025.0,8.0,0.5900000000000003
2025.0,9.0,-0.27976190476190493
2025.0,10.0,0.259259259259259
2025.0,11.0,-0.23142857142857073
2025.0,12.0,-0.1413043478260874
2025.0,13.0,0.6541176470588234
2025.0,14.0,0.7479999999999999
2025.0,15.0,0.975714285714286
2025.0,16.0,1.0180000000000007
2025.0,17.0,-5.32142857142857
2025.0,18.0,-3.6599999999999993
2025.0,19.0,10.943333333333333
2025.0,20.0,-29.2
2025.0,21.0,-0.12499999999999956
2025.0,22.0,-1.3850000000000005
,,
