month,평균_공포탐욕지수
2023-03,12.065
2023-04,15.576470588235297
2023-05,17.2435
2023-06,23.276000000000003
2023-07,16.331200000000003
2023-08,16.856222222222225
2023-09,17.53238095238095
2023-10,19.173928571428572
2023-11,21.354482758620694
2023-12,24.99954545454545
2024-01,19.8209375
2024-02,13.263999999999998
2024-03,18.436301369863017
2024-04,16.28333333333333
2024-05,17.520215053763444
2024-06,19.084137931034483
2024-07,17.50980392156863
2024-08,17.914186046511627
2024-09,18.732413793103454
2024-10,13.8285
2024-11,18.727142857142855
2024-12,17.403225806451612
2025-01,18.122365591397852
2025-02,12.879545454545456
2025-03,21.735666666666667
