month,평균_공포탐욕지수,단기_이동평균,장기_이동평균
2023-05,37.504999999999995,,
2023-06,21.054166666666667,,
2023-07,22.09615384615385,,
2023-08,22.547500000000003,,
2023-09,6.763,,
2023-10,29.892857142857142,,
2023-11,16.907142857142855,22.395117216117217,
2023-12,16.599999999999998,19.408688644688645,
2024-01,14.129999999999999,18.419521978021976,
2024-02,25.276666666666667,18.87388095238095,
2024-03,21.21454545454546,18.68345887445887,
2024-04,20.06341463414634,20.583518107908354,
2024-05,18.20965517241379,18.914489254987874,
2024-06,19.22434782608696,19.2455185362656,
2024-07,20.922083333333333,19.86295901245608,
2024-08,18.132500000000004,20.434744726741794,
2024-09,18.917906976744185,19.526350485324294,
2024-10,16.403802816901408,18.83910153708943,
2024-11,17.936086956521727,18.535197583143056,
2024-12,17.744124999999997,18.468693272798227,
2025-01,15.146521739130433,17.8861466889473,
2025-02,18.928356164383555,17.601328521954475,
2025-03,24.94016949152542,18.573852735029533,
