month,평균_공포탐욕지수
2023-05,37.504999999999995
2023-06,21.054166666666667
2023-07,22.09615384615385
2023-08,22.547500000000003
2023-09,6.763
2023-10,29.892857142857142
2023-11,16.907142857142855
2023-12,16.599999999999998
2024-01,14.129999999999999
2024-02,25.276666666666667
2024-03,21.21454545454546
2024-04,20.06341463414634
2024-05,18.20965517241379
2024-06,19.22434782608696
2024-07,20.922083333333333
2024-08,18.132500000000004
2024-09,18.917906976744185
2024-10,16.403802816901408
2024-11,17.936086956521727
2024-12,17.744124999999997
2025-01,15.146521739130433
2025-02,18.928356164383555
2025-03,24.94016949152542
