year,hour,평균_공포탐욕지수
2024.0,21.0,24.109583333333337
2024.0,7.0,30.17777777777778
2023.0,17.0,22.96666666666667
2024.0,12.0,11.081538461538461
2023.0,9.0,26.15125
2023.0,8.0,23.992499999999996
2023.0,21.0,20.104444444444447
2025.0,22.0,32.15384615384615
2025.0,5.0,7.22
2025.0,6.0,28.208000000000006
2024.0,3.0,10.666363636363636
2023.0,7.0,10.05
2025.0,21.0,3.0833333333333335
2025.0,23.0,18.211612903225802
2025.0,10.0,7.365714285714286
,,38.44
2024.0,5.0,19.99
2023.0,16.0,24.262307692307694
2023.0,6.0,17.580000000000002
2025.0,9.0,3.2199999999999998
2025.0,7.0,13.780000000000001
2024.0,9.0,14.786190476190475
2024.0,10.0,18.48125
2024.0,23.0,16.130121951219515
2024.0,2.0,12.970588235294118
2024.0,22.0,14.495569620253166
2023.0,3.0,24.599999999999998
2025.0,8.0,33.2
2025.0,19.0,7.225
2025.0,15.0,24.850000000000005
2023.0,20.0,16.042307692307695
2023.0,2.0,4.0649999999999995
2023.0,11.0,23.88083333333334
2025.0,3.0,15.642727272727274
2023.0,0.0,20.7
2023.0,4.0,22.056
2023.0,18.0,14.896249999999998
2023.0,5.0,16.4125
2023.0,22.0,16.99641025641026
2025.0,12.0,18.167500000000004
2023.0,23.0,14.129473684210522
2024.0,0.0,15.18277777777778
2024.0,1.0,19.528372093023258
2024.0,11.0,13.856
2025.0,4.0,9.0175
2024.0,14.0,15.48
2023.0,19.0,25.355555555555558
2023.0,10.0,7.798
2025.0,20.0,4.26
2024.0,6.0,22.49818181818182
2024.0,15.0,35.63999999999999
2025.0,11.0,11.555
2024.0,13.0,18.060499999999998
2025.0,17.0,7.73
2024.0,19.0,21.16619047619048
2024.0,18.0,11.505238095238099
2025.0,1.0,16.73176470588235
2025.0,18.0,13.248571428571427
2024.0,20.0,21.41
2023.0,14.0,14.50375
2023.0,13.0,24.896000000000004
2023.0,12.0,17.898000000000003
2024.0,4.0,29.396666666666672
2025.0,14.0,21.414
2023.0,15.0,15.57888888888889
2024.0,8.0,21.377692307692307
2025.0,2.0,12.153333333333334
2024.0,16.0,15.248823529411762
2024.0,17.0,25.446315789473687
2025.0,0.0,20.4675
2023.0,1.0,25.92888888888889
2025.0,16.0,14.116666666666667
