year,hour,변화율
2023.0,0.0,0.2933333333333331
2023.0,1.0,-0.7355555555555561
2023.0,2.0,1.0
2023.0,3.0,12.516666666666667
2023.0,4.0,-4.6419999999999995
2023.0,5.0,-0.6499999999999995
2023.0,6.0,-2.4850000000000003
2023.0,7.0,0.8600000000000008
2023.0,8.0,2.751249999999999
2023.0,9.0,-3.1050000000000004
2023.0,10.0,2.794
2023.0,11.0,4.006666666666666
2023.0,12.0,-12.475999999999999
2023.0,13.0,0.04600000000000008
2023.0,14.0,0.9062499999999998
2023.0,15.0,0.8655555555555554
2023.0,16.0,3.4984615384615387
2023.0,17.0,-7.185555555555557
2023.0,18.0,0.65375
2023.0,19.0,7.353333333333334
2023.0,20.0,-4.686153846153847
2023.0,21.0,-0.9722222222222222
2023.0,22.0,0.582051282051282
2023.0,23.0,0.01131578947368439
2024.0,0.0,-1.0962264150943397
2024.0,1.0,0.7955813953488374
2024.0,2.0,-0.08529411764705899
2024.0,3.0,-2.454545454545454
2024.0,4.0,6.766666666666667
2024.0,5.0,2.001999999999999
2024.0,6.0,-5.449999999999998
2024.0,7.0,-0.7411111111111113
2024.0,8.0,4.017692307692308
2024.0,9.0,-2.367142857142857
2024.0,10.0,0.4395833333333335
2024.0,11.0,1.0159999999999993
2024.0,12.0,0.7792307692307688
2024.0,13.0,-1.593
2024.0,14.0,0.32300000000000023
2024.0,15.0,3.871666666666666
2024.0,16.0,-2.949411764705882
2024.0,17.0,2.9852631578947366
2024.0,18.0,-2.448095238095238
2024.0,19.0,-0.24285714285714247
2024.0,20.0,-0.03000000000000019
2024.0,21.0,1.74625
2024.0,22.0,0.3413924050632905
2024.0,23.0,-0.6262195121951214
2025.0,0.0,0.5448148148148145
2025.0,1.0,-0.7705882352941177
2025.0,2.0,1.1466666666666667
2025.0,3.0,-0.2881818181818193
2025.0,4.0,1.4799999999999995
2025.0,5.0,0.48999999999999977
2025.0,6.0,-0.9059999999999995
2025.0,7.0,5.016666666666667
2025.0,8.0,-3.8399999999999963
2025.0,9.0,-29.980000000000004
2025.0,10.0,0.9171428571428567
2025.0,11.0,-2.745
2025.0,12.0,0.3324999999999996
2025.0,14.0,4.014
2025.0,15.0,-2.269999999999999
2025.0,16.0,-4.916666666666668
2025.0,17.0,1.23
2025.0,18.0,-0.6642857142857136
2025.0,19.0,-0.05750000000000011
2025.0,20.0,0.16999999999999993
2025.0,21.0,0.3333333333333333
2025.0,22.0,0.9492307692307695
2025.0,23.0,-0.2522580645161286
,,
