month,평균_공포탐욕지수,단기_이동평균,장기_이동평균
2023-03,12.065,,
2023-04,15.576470588235297,,
2023-05,17.2435,,
2023-06,23.276000000000003,,
2023-07,16.331200000000003,,
2023-08,16.856222222222225,,
2023-09,17.53238095238095,16.982967680405498,
2023-10,19.173928571428572,17.99852890489529,
2023-11,21.354482758620694,18.82395921495035,
2023-12,24.99954545454545,19.93196570845684,
2024-01,19.8209375,19.438385351313986,
2024-02,13.263999999999998,19.000213922742557,
2024-03,18.436301369863017,19.22593951526267,
2024-04,16.28333333333333,19.047504141113013,
2024-05,17.520215053763444,18.811259352875133,
2024-06,19.084137931034483,18.486924377505677,
2024-07,17.50980392156863,17.41696130136613,
2024-08,17.914186046511627,17.144568236582078,
2024-09,18.732413793103454,17.92577020702543,
2024-10,13.8285,17.267512868473567,
2024-11,18.727142857142855,17.61662851473207,
2024-12,17.403225806451612,17.599915765116094,
2025-01,18.122365591397852,17.462519716596574,
2025-02,12.879545454545456,16.801054221307552,
2025-03,21.735666666666667,17.34698002418684,
