content,timestamp,platform,stock_name,label
"꼴랑 2주 삼전 평단이 5900원이다
살까말까하다가 사봤더니",2024-10-24T11:44:19+09:00,toss,삼성전자,
어처구니가 없구나 삼성노조야,2024-05-29T14:47:37+09:00,toss,삼성전자,
4만찍고 추세보고들어오세요 당분간 접근금지,2024-11-13T11:52:27+09:00,toss,삼성전자,
삼성이 안망할거라 생각해서 산거지,2024-11-02T13:19:30+09:00,toss,삼성전자,
번지점프대 만드는중이니 속지마시오,2024-10-07T13:34:56+09:00,toss,삼성전자,
까지는 내려와야 반등 여지가 있겠네요 조금만 버터봅시당,2024-11-29T11:19:43+09:00,toss,삼성전자,
3만전자되면 전재산 풀매수 간다,2024-11-14T09:19:47+09:00,toss,삼성전자,
"몇시간동안 눈사람을 만들고 장식까지 화려하게 
해준 눈사람을 부수고 간다면

참고로 누가 부셧는지 아는 상태이고 눈 사람을 만든 사람은 당신입니다",2024-12-12T00:36:22+09:00,toss,삼성전자,
곧 7만찍고 다시 8만전자 간당,2025-02-18T12:40:30+09:00,toss,삼성전자,
올라가주세요,2023-09-05T18:55:31+09:00,toss,삼성전자,
오전에 개 꼬라박겟누미장 작살나는중,2023-09-20T02:04:13+09:00,toss,삼성전자,
2024년 7월 AI가 본 삼성전자 주가 전망  httpsistorytistorycommentry2024EB85847EC9B94AIEAB080EBB3B8EC82BCEC84B1ECA084EC9E90ECA3BCEAB080ECA084EBA79D,2024-06-28T16:17:02+09:00,toss,삼성전자,
이제서야 오르는거니,2024-06-14T09:51:43+09:00,toss,삼성전자,
내일 줍줍해봄,2024-10-15T18:44:50+09:00,toss,삼성전자,
10퍼이상 내리고 1퍼올랏다고 기뻐서 눙물 흘리는 흑우 없지,2024-11-14T13:15:38+09:00,toss,삼성전자,
개미가 많이 가지고 있으니 올라가기는 어려울듯,2025-02-17T14:25:59+09:00,toss,삼성전자,
8만간다,2024-03-21T13:31:53+09:00,toss,삼성전자,
바닥부터 시작,2024-10-23T10:06:14+09:00,toss,삼성전자,
맨땅에다해딩 멘땅 멘땅에다해딩,2024-10-26T22:29:38+09:00,toss,삼성전자,
또 괴롭히네,2025-03-05T15:53:02+09:00,toss,삼성전자,
기대해도좋을듯,2024-11-19T15:14:30+09:00,toss,삼성전자,
삼전은 망한건가요,2024-12-17T09:05:13+09:00,toss,삼성전자,
"못버티구 53700원 손절 했습니다 
형님들은  수익 꼭 보고 나오셔여",2024-11-12T12:09:30+09:00,toss,삼성전자,
이미 망했는데 외인이 들어올까,2024-12-08T18:01:34+09:00,toss,삼성전자,
"삼성은 초 일류기업에서 지금 1류 기업 
신용이 많이 떨어진다",2024-11-21T09:40:53+09:00,toss,삼성전자,
"삼  성전자

성 장 또 성장 해서

전고점 뚫고 10 만 까지

자 이제 부터 시작이다

10 만 가즈아",2024-08-13T09:20:27+09:00,toss,삼성전자,
4만 깼다 다음 3만전자 3만전자,2024-11-14T17:44:43+09:00,toss,삼성전자,
데드캣 바운스,2024-10-07T18:54:00+09:00,toss,삼성전자,
뚫어뻥73,2023-06-29T09:06:38+09:00,toss,삼성전자,
젠슨 황 엔비디아 최고경영자CEO가 삼성전자 고대역폭메모리HBM 납품 승인을 위해 최대한 빨리 작업 중이라고 밝힘 HBM 시장에서 SK하이닉스에 주도권을 내준 삼성전자로선 HBM 엔비디아 납품이 초읽기에 들어간 건 큰 호재,2024-11-25T08:58:15+09:00,toss,삼성전자,
"와 근데 매수하는 사람은 뭘보고 매수하는거임

걍 삼전이라 사는건가

대단하긴 하다",2024-10-22T17:00:35+09:00,toss,삼성전자,
미치겠다,2024-11-12T09:02:11+09:00,toss,삼성전자,
"외인 형님들 아직도 정신을 못차렸습니다
이것밖에 안되냐 양키들아",2024-10-24T12:26:52+09:00,toss,삼성전자,
터치를 시도한다면서 주가가 왜 이래,2024-03-25T11:24:58+09:00,toss,삼성전자,
정말 이지 밉군,2023-09-07T11:38:09+09:00,toss,삼성전자,
이렇게 많이 외국인이 판 적이 있나,2024-09-03T17:46:00+09:00,toss,삼성전자,
장초반부터 외국인들 미쳤네,2024-09-19T09:03:54+09:00,toss,삼성전자,
삼성전자 처음 사봄  좋은 기역이 될지,2024-02-05T11:16:37+09:00,toss,삼성전자,
반도체주 상승랠리 때 끼지도 못하고 가만히 있더니 오히려 떨어질 땐 더 떨어지네,2024-09-09T14:28:30+09:00,toss,삼성전자,
"가슴으로 하는 거라더니
최대실적 나오고 HBM4 양산계획에 사실상 파운드리 포기와 엔디비아 퀄 테스트 통과 가능성등 있는거 없는거 싹 뿌려도 개미 벗겨 먹는 놀이터구나",2024-10-31T15:48:47+09:00,toss,삼성전자,
정찰주 뺀다 삼전은 당분간 재밌없을듯,2024-11-08T12:47:32+09:00,toss,삼성전자,
아주 쇼를 해라,2024-10-28T11:03:59+09:00,toss,삼성전자,
"이제 5일동안 주식창 안봐도 되는구나 



단타 잘 치신분들은 즐거운 추석을

많이 물리신 분들은 우울한 추석을 

얼마 안되지만 8종목 다 물려 있는

저도 있음",2024-09-13T13:17:38+09:00,toss,삼성전자,
안돼 올라기야지 내려오면,2024-11-25T09:14:56+09:00,toss,삼성전자,
나눠서 진입,2024-10-16T09:23:52+09:00,toss,삼성전자,
오늘 57보여주면 바로 물타기 들어가거 급등 하면 기분좋게 관망해야지,2024-10-29T07:52:33+09:00,toss,삼성전자,
"어디가 바닥인지 모를 상황에
내려가면서 물타지 마시고
바닥다지는 거 보고 확실히 
방향 튼 거 보고 불타세요 
 
내가 제일 잘 한 일
국장에서 돈 빼서 미장으로 이사간 일 
진짜 칭찬해주고 싶다",2024-11-14T15:47:50+09:00,toss,삼성전자,
10만전자까지 기다린다,2024-12-12T14:13:29+09:00,toss,삼성전자,
이재용은 끝났다,2024-10-23T12:10:16+09:00,toss,삼성전자,
"MS양자칩 공개
누가 생산할까요",2025-02-20T09:03:39+09:00,toss,삼성전자,
키움에 삼전우 보유중인데 이제 욕이 나오려 하네요 국장,2025-01-02T13:28:31+09:00,toss,삼성전자,
오늘 8만원깨자,2024-06-17T09:03:00+09:00,toss,삼성전자,
내렸다올렸다 힘드네,2024-07-16T11:20:16+09:00,toss,삼성전자,
국장  삼전으로 돈버시는 분들이 이 시대의 영웅입니다,2024-09-25T09:19:18+09:00,toss,삼성전자,
이야 오늘은 윗꼬리 없이 올리네 이제 뭐 악재 나올 것도 없지않나 6만 드디어 가니,2025-01-08T15:00:57+09:00,toss,삼성전자,
"왜 줘도 못먹고 또 물렸을까 
생각하는 사람 개추",2025-02-28T14:27:37+09:00,toss,삼성전자,
"아니 5만도 높다니깐요
오로지
엔비디아 납품 확정아니면
절대 사지 마세요",2024-10-04T07:17:17+09:00,toss,삼성전자,
"어차피 물린것 기둘려야제
아직 때가 아녀",2024-10-22T13:32:15+09:00,toss,삼성전자,
인텔 AMD 다 망한다는 소리 나오다가 프로세서 하나 잘 뜨니까 개같이 부활하던데 삼전이 HBM 포기하고 다음 세대 노리면 당장 몇 년은 얻어 맞아도 광명 보는 날이 올듯,2024-11-08T00:00:38+09:00,toss,삼성전자,
내예상이 밎았어 반등,2024-10-07T13:48:51+09:00,toss,삼성전자,
가보자이,2024-09-29T21:59:49+09:00,toss,삼성전자,
개잡주,2025-02-06T12:13:47+09:00,toss,삼성전자,
,2024-05-20T09:29:42+09:00,toss,삼성전자,
미래에투자,2023-06-19T19:22:29+09:00,toss,삼성전자,
가자 가자 가자 가자,2024-09-26T13:22:03+09:00,toss,삼성전자,
하,2024-12-20T01:32:59+09:00,toss,삼성전자,
"외인들이 던지는거 받아서 터져주는데

미장으로 외화를 벌어야지 잉 

뭔 국장이여",2024-10-08T12:25:03+09:00,toss,삼성전자,
칠쩐존자,2024-08-29T09:07:04+09:00,toss,삼성전자,
"자사주 소각을 하든 배당을 늘리든
주주환원책이라도 시행하던가
진짜 소외감 상실감 크다 삼성아",2024-03-08T12:41:12+09:00,toss,삼성전자,
드가자,2023-08-08T10:28:41+09:00,toss,삼성전자,
열심히  살겠습니다,2024-10-31T20:28:01+09:00,toss,삼성전자,
"애국심
나라도 사서 지켜주자 재용쿤
주변 정리 잘해서 똑똑한 오너로 돌아오길
이건희회장님 무덤파고나오실라",2024-12-20T20:07:13+09:00,toss,삼성전자,
"할말하않이더라

그냥 공사가 대부분 셧다운 되어있더라",2024-10-06T15:42:45+09:00,toss,삼성전자,
"2년전 조금씩 모아갔을때가 생각이 나네요
드디어 빛을 봅니다",2024-03-21T14:37:32+09:00,toss,삼성전자,
버텨죠 제발,2024-12-04T09:01:17+09:00,toss,삼성전자,
"개인적인 생각으로 자사주 매입은 중수라 생각한다

상수는 그 돈을 RD에 투자하는게 낫지 않을까 기술회사가 기술력 향상에 돈을 쓰고 장기적으로 지속가능한 성장에 방점이 찍혀야 하는게 훨씬 중요하기 때문이다

자사주 매입 및 일부 소각은 일회성 이벤트로 잠깐 반짝은 하겠지 결국 기술이 받쳐주지 못하는 회사는 도태될 수 밖에 없다

더구나 의심의 눈초리로 본다면 상속세 관련하여 주가 방어가 필요한 삼성가를 위해 주식회사의 돈을 끌어다 쓴다고도 볼 수 있는 부분이다 이게 맞다면 횡령이 맞지 않을까",2024-11-15T22:02:51+09:00,toss,삼성전자,
노답,2024-05-29T13:34:47+09:00,toss,삼성전자,
우리나라 대표주 한번 믿어봅시다,2024-10-02T11:22:04+09:00,toss,삼성전자,
그냥 국장 전체가 바닥 칠 각,2024-12-04T03:15:09+09:00,toss,삼성전자,
와우 공매도를 조단위로 하네,2024-11-13T12:35:08+09:00,toss,삼성전자,
도데체 이렇게 꾸준히 파는 이유가 머니,2024-10-28T11:01:57+09:00,toss,삼성전자,
죽쑤고 있네,2024-01-15T09:48:58+09:00,toss,삼성전자,
어디까지떨어질까요,2024-10-30T14:36:31+09:00,toss,삼성전자,
오늘 6100돌파하고 내일 6400가자,2024-10-30T08:52:02+09:00,toss,삼성전자,
이유가 뭡니까 단순히 저렴하다는 이유로,2024-11-15T12:58:26+09:00,toss,삼성전자,
