content,timestamp,platform,stock_name,label
"아 이번에 본전 건지면 
손절해야겠다 해도해도 너무한다",2024-11-29T10:08:18+09:00,toss,삼성전자,
난 너삼성땜에 새됬어,2024-12-24T10:39:34+09:00,toss,삼성전자,
민주당이 정권잡으면 금투세 시행함,2025-01-07T13:44:42+09:00,toss,삼성전자,
"삼만외치는 사람들
정녕 삼만되면 다도망갈걸
한국경제도 생각합시다",2024-10-25T12:06:12+09:00,toss,삼성전자,
천천히 오셔도 괜찮으니 구조만 와주세요비상식량 비축은 해뒀습니다,2024-11-14T10:20:30+09:00,toss,삼성전자,
"아무리봐도 스윙자리 같음
분할로 주워봐야징",2024-12-01T21:25:28+09:00,toss,삼성전자,
5700원이면 주울만한데,2024-10-10T15:47:13+09:00,toss,삼성전자,
개주식,2025-01-17T09:37:34+09:00,toss,삼성전자,
조금 더 기다려 볼께요 등산 좀 다녀오겠습니다,2023-11-08T15:10:35+09:00,toss,삼성전자,
"이제그만 보내줘야할거같습니다
오래참았습니다",2024-02-02T10:40:14+09:00,toss,삼성전자,
"지극히 개인적인생각입니다

우리국민이야 또저러내 하는북위협이 
외국인에겐 상당히 충격을 많이 주는걸 알았습니다
홍콩에서 지낼당시 북한이 미사일발사했을때도
그친구들은 상당히 놀라워했지요
나한테 니 나라괜찮냐 묻길래 
늘상있는일이라 아무렇치 않아아마도 쌀이부족하니 또 삽질하는거다  라고하니 또충격먹더라구요 
허나 이번 북한행동은 자국민인 내가봐도 위험수위인듯 생각해봅니다
우크라 중동전쟁에이어 북한의 
연평도포격과 전쟁 불사 않겠다 발언 등등
외국투자입장에선 많이 꺼름직하겠다고느낍니다

저는 2년전 묵엿던거 본전으로만회하고 나오고난후 10퍼상승하길래 좀 아쉬웠는데 오늘짜로 다시제자리로왔내요 본전때안뺏으면 
오늘짜로10퍼였겠지요 이득은없지만 손해가 크지않아 더잘한 일이라생각합니다
일단은 잠시 관망만해봅니다
소신껏 성투하십시요",2024-01-10T16:49:05+09:00,toss,삼성전자,
꺼억,2024-05-27T15:39:56+09:00,toss,삼성전자,
"엔비디아 실적발표후 삼성전자 하이닉스에 관한 언급이 있을지가 중요 하다고 하네요 
내일 좋은 소식이 들려 오면 좋겠네요",2024-05-22T08:13:02+09:00,toss,삼성전자,
생애 첫 주식,2024-09-12T10:35:56+09:00,toss,삼성전자,
어제 샀는데 오전에 떨어지네3,2024-05-30T09:16:30+09:00,toss,삼성전자,
"외인에 기관에 법인까지 사는데 던지는건 개인들이넹
개미가 많아서 못가는구나",2024-07-05T10:05:18+09:00,toss,삼성전자,
뭐여,2025-01-31T09:17:24+09:00,toss,삼성전자,
"모두들 코인시장으로 달려가는군요
지금은 늦었을텐데 흠",2024-11-12T10:09:27+09:00,toss,삼성전자,
회이크 조심요,2024-11-07T09:13:06+09:00,toss,삼성전자,
오늘이니,2024-06-14T09:40:47+09:00,toss,삼성전자,
"마지막에 외국이 디따 들어요 스위스 유비에스증권은 마지막까지 파네

믄 호재있낭 막판 외인이 담았네",2024-11-25T15:34:35+09:00,toss,삼성전자,
이걸또 8만을 못넘네 징하네,2024-05-16T09:17:39+09:00,toss,삼성전자,
의견,2025-02-10T07:58:27+09:00,toss,삼성전자,
하 나의 삼성 안타깝다 이제 저무는 해인건가,2024-11-06T02:36:22+09:00,toss,삼성전자,
4만원대 가면 슬슬 물타야겠네,2024-11-13T18:27:28+09:00,toss,삼성전자,
s25 살돈 벌려고 했는데 글러 먹어따,2025-01-09T18:45:59+09:00,toss,삼성전자,
최근들어 국내주식 쳐다보기싫음 미국서 벌어 메꾸고 있으니 삼성도 중소기업 되가고 있어 혁신이 없어 삼성 직원들 시간만 때우는 애들 많다고함 월급은 따박따박주니까,2024-08-26T10:52:35+09:00,toss,삼성전자,
탈출하십쇼 여러분,2024-10-22T10:29:09+09:00,toss,삼성전자,
"이번엔 안놓친다
5 중후반대 가면 무저건 탄다",2024-10-07T10:21:45+09:00,toss,삼성전자,
"금투세 시행하자는 분 

1 미장만 하시는 분

2 광적인 민주당 지지 자 분

3 주식 안하면서 하는 척 하는  주식해도

1백이하 이신 분

금투세 딱 봐도 증시 악제 인대 

시행하자고 하는 분들 90 프로

위 3가지 에 들어 갑니다 

여기 찬성하신다는 분들 투자 내역 보면 답 나옴 

나머지 10프로는 뭘까 

아니면 지금껏 쓴 댓글 살짝만 봐도",2024-09-24T11:17:21+09:00,toss,삼성전자,
"주가좀 올릴만 하면 물려있는 개미들 자기평단 오면 다 탈출해서 올릴수가없음
삼전이 언제부터 개미들 킬링필드가 됫냐",2024-11-12T16:13:49+09:00,toss,삼성전자,
휴멘탈터져서 힐주일만에 들어왔는데 본전이네  다행이야,2024-11-18T09:48:26+09:00,toss,삼성전자,
탈출,2024-11-15T10:32:39+09:00,toss,삼성전자,
오아침에 추매한 내 자신 칭찬해,2024-10-02T10:31:10+09:00,toss,삼성전자,
4만원대로 내려가면 매수할텐데 어렵냥,2024-11-19T09:27:47+09:00,toss,삼성전자,
난63층,2025-02-06T09:30:47+09:00,toss,삼성전자,
삼전은 순수하게 임원진의 트롤짓으로 기술력이 부족해서 밀리는중임,2024-11-05T14:28:39+09:00,toss,삼성전자,
