content,timestamp,platform,stock_name,label
이제 투자도더마니할거고,2024-06-18T21:30:06+09:00,toss,삼성전자,
테슬라 비트코인 투자하면 손실복구할듯,2024-11-12T09:12:41+09:00,toss,삼성전자,
개인들 이제 무서워서 오를때마다 팔겠네,2024-11-15T09:20:59+09:00,toss,삼성전자,
"좀더 기다려봐야지 
8만전자 가보자",2023-08-24T10:26:42+09:00,toss,삼성전자,
"삼전 자사주 매입 오늘은 장초반 외국인도 순매수 중이네요 미국장에서도 반도체 분위기가 나쁘지 않습니다
2주전 급격하게 주가가 빠지면서 49900원으로 마무리했는데 다행히 쭉 빠져버리진 않았네요",2024-11-25T09:05:14+09:00,toss,삼성전자,
이제 삼성은 쳐다도 안본다 어휴,2025-01-23T11:46:59+09:00,toss,삼성전자,
드가자,2024-10-28T09:08:14+09:00,toss,삼성전자,
5만원 갑니다,2024-12-23T08:55:19+09:00,toss,삼성전자,
고수님들 얼마정도 상승 할꺼라 예상 하십니까,2025-02-18T15:40:24+09:00,toss,삼성전자,
재용이형 올트먼 바지가랑이라도 좀 잡어 살려달라고,2025-02-05T08:44:29+09:00,toss,삼성전자,
아놔 익절했는데 배 엄청 아프네,2024-04-02T09:14:00+09:00,toss,삼성전자,
"결정타가 되어 줄만한 것을 내놔라  
이재용 진두하에 자사주 매입에  전임직원 독려  추천권 배부 후 각종 사은품 증정",2024-09-26T13:59:10+09:00,toss,삼성전자,
"한창 외인단타주라고 욕하고 실망매물 65에 주어서 맛있게 음미중
윾시 했제충 보이면 주어야됨",2023-11-01T13:14:30+09:00,toss,삼성전자,
티라노가 있어요 물리면 골로가요,2024-09-12T11:20:49+09:00,toss,삼성전자,
지지선 살짝 뚫었다가 다시 말아올렸는데 지켜봐야할듯,2024-10-10T09:49:54+09:00,toss,삼성전자,
가즈아,2024-06-04T10:19:25+09:00,toss,삼성전자,
월화수 안맞았다 그지,2024-09-18T17:39:13+09:00,toss,삼성전자,
"5200원 까지 열어두고 있긴한데

4만원 가려나",2024-10-25T13:39:29+09:00,toss,삼성전자,
지금 오르고있는거 어디서 보나요,2024-11-18T08:55:12+09:00,toss,삼성전자,
당신의 선택은,2024-12-03T23:52:25+09:00,toss,삼성전자,
,2025-01-15T14:05:22+09:00,toss,삼성전자,
하하 아침에 쭈욱이겠네요,2024-08-27T23:08:46+09:00,toss,삼성전자,
6만전자 이제 더이상 보기 힘들어집니다,2024-09-06T15:43:10+09:00,toss,삼성전자,
"개인이 던지기 시작했다
반등타이밍 국룰

23일 지켜보고 저점잡아야지",2024-12-09T12:10:27+09:00,toss,삼성전자,
갤럭시 만세,2023-08-08T07:04:12+09:00,toss,삼성전자,
개잡주,2024-11-08T13:57:54+09:00,toss,삼성전자,
바닥 가즈아,2024-09-11T10:41:18+09:00,toss,삼성전자,
"에구에구  
그래 이왕 이렇게 빠지는거 삼전으로 
왕창 내려라 그때 몰빵할게요",2024-09-30T14:03:58+09:00,toss,삼성전자,
85천원 가자,2024-07-04T09:28:18+09:00,toss,삼성전자,
65,2024-02-20T10:21:39+09:00,toss,삼성전자,
워렌 버핏은 남들이 두려워 할 때 욕심내라고 하셨습니다 파이팅,2024-11-21T10:31:49+09:00,toss,삼성전자,
올 상반기엔 8만쯤 되어 있을 것 같네요,2025-03-20T10:00:06+09:00,toss,삼성전자,
,2024-07-11T09:23:18+09:00,toss,삼성전자,
8층이 코 앞에,2023-12-20T12:00:28+09:00,toss,삼성전자,
70층에 사람있어요 살려주세요,2024-10-07T14:27:47+09:00,toss,삼성전자,
개초보,2024-11-08T21:32:48+09:00,toss,삼성전자,
매물 다 받아주네요 감사합니다,2024-12-18T10:13:47+09:00,toss,삼성전자,
장 막판에 꼬리 올리는거 보니 내일은 6만원 찍겠다,2024-11-25T15:35:25+09:00,toss,삼성전자,
삼성 갑갑하다  나는 와  배당 안주노,2023-08-16T09:16:04+09:00,toss,삼성전자,
우리나라에서 삼전이 얼마나 대단한 인식을 가지고 있는지 확인할수 있네요개인들 받아먹는게 진짜루 대단하다,2024-10-25T13:17:11+09:00,toss,삼성전자,
가능,2025-02-10T14:27:26+09:00,toss,삼성전자,
머선129,2024-07-18T15:41:58+09:00,toss,삼성전자,
