content,timestamp,platform,stock_name,label
에고,2024-10-22T15:24:57+09:00,toss,삼성전자,
허무긴허무는데86에 물린 500만개미가있는듯,2024-07-05T11:08:16+09:00,toss,삼성전자,
"정계인사들 다 UAE갔더라
효성SK삼성또 누고 
하이브 시혁이도 갔더라

UAE대통령과 만난다던거 같은데 
난 어제 그소식 듣고 
엔터테인먼트효성삼성SK등 거기 가서 
이익될만하거 가지고올꺼같아

아침 삼성들어갔는데 파업
9시에들어가서 3손실

지금 엔비디아 떡상해서 반도체 다 오르고
제주반도체마저 10올랐는데

오늘 뜻하지않는 파업으로 다 말아먹었다
내일은 어떻게 대응할지 고민중이다",2024-05-29T18:43:00+09:00,toss,삼성전자,
제발 그만학,2024-10-24T14:53:01+09:00,toss,삼성전자,
바겐세일,2024-02-29T10:47:43+09:00,toss,삼성전자,
"아  삼전 너무 재미없다
엔비디아를 비롯한 미장은 다시 본궤도 올랐구만
국장은 왜이래
금투세 한다고해서 그른가",2024-08-22T11:06:03+09:00,toss,삼성전자,
"미국지표가 좀 그렇지만
증시가 오르는거보니
상방이 맞는듯요",2024-06-05T23:44:28+09:00,toss,삼성전자,
"또 이러다 10시 되면 쭉 빠질듯 

아니길 빕니다",2024-03-26T09:08:10+09:00,toss,삼성전자,
목요일까지는 내리는건가,2024-11-12T09:03:40+09:00,toss,삼성전자,
아오 삼전 코로나 초기 때부터 3년 물려본 사람은 알죠  삼전은 단타만,2024-09-05T18:14:15+09:00,toss,삼성전자,
부탁혀 애국수매,2024-11-15T13:18:41+09:00,toss,삼성전자,
"그래도 수익으로 출발하는 한 주가 좋스므니다
고기 묵어야죠",2024-11-18T09:02:19+09:00,toss,삼성전자,
"와 외국인 지분56에서 53왔는데 
2만 
지분3프로 더떨구면 얼마나 되려나",2024-10-22T15:15:20+09:00,toss,삼성전자,
추매,2025-01-02T12:04:05+09:00,toss,삼성전자,
"미장 반도체주 싹다 하락세임

특히 인텔이 잘 오르다가 조정 씨게 들어왔는데 삼전이 뜬금없이 8만 간다

말이 안됨",2024-01-04T10:20:47+09:00,toss,삼성전자,
평단 52만에서 추매해서 62만이면 더 들고 있어야게쮸,2024-04-11T16:05:44+09:00,toss,삼성전자,
기관과 외인의 현찰 박치기,2024-05-10T11:33:27+09:00,toss,삼성전자,
"유럽이 AI기술개발에 300조를 투자한다고 결정했습니다 

저 돈이 어디로 갈 까요

당연히 엔비디아 브로드컴 아마존 등 AI기술개발을 가능하게 하는 회사들이 일차적인 수혜를 받습니다 
물론 삼성전자도 그 중 하나고요 

특히 이제 막 HBM품질을 인정받은 삼전이 가장 수혜를 볼 확률이 높습니다 
삼성전자가 저 300조 중 얼마를 가져오게 될 까요

httpsnnewsnavercomarticle0010015206484",2025-02-12T12:09:30+09:00,toss,삼성전자,
"여러분 우리 떠나가는 5만전자에게
잘가라고 노래한잔 함 불러줍시다
잘 가세요 잘가세요",2025-02-03T12:55:36+09:00,toss,삼성전자,
이런 분위기에 파는분들은 무슨 생각이실까,2024-04-02T09:07:17+09:00,toss,삼성전자,
삼성이 이나라 대표기업이라는게 리스크다,2024-11-13T09:28:35+09:00,toss,삼성전자,
7층팔고 재진입,2023-10-20T09:49:47+09:00,toss,삼성전자,
